title,rate,cuisine,location,address,street,price_from,price_till,url
Jenderal Kopi Nusantara Buwas,4.44,['Kafe'],Riau,,"Jl. LLRE Martadinata No. 219, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/jenderal-kopi-nusantara-buwas-riau
Bonfire,4.52,['Barat'],Riau,,"Jl. LLRE Martadinata No. 137, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/bonfire-riau
Altero Bistronomie,4.60,['Barat'],Cipaganti,,"Jl. Cipaganti No. 38, Cipaganti, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/altero-bistronomie-cipaganti
Golden Bay Live Seafood Restaurant,4.41,['Indonesia'],Riau,,"Jl. LLRE Martadinata No. 187, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/golden-bay-live-seafood-restaurant-riau
Roemah Legit,4.29,['Indonesia'],Naripan,,"Jl. Embong No. 15, Naripan, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/roemah-legit-naripan
HittoBitto,4.29,['Jepang'],Trunojoyo,,"Jl. Trunojoyo No. 62, Trunojoyo, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/hittobitto-trunojoyo
Norge,4.30,['Es Krim'],Banda,,"Jl. Banda No. 4, Banda, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/norge-banda
Kineruku,4.47,['Kafe'],Setiabudhi,,"Jl. Hegarmanah No. 52, Setiabudhi, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/kineruku-setiabudhi
Boja Eatery & Bar,4.26,['Kafe'],Sumatera,,"Jl. Sumatera No. 21, Sumatera, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/boja-eatery-dan-bar-sumatera
Hachi Grill,4.62,['Jepang'],Sarijadi,,"Jl. Prof. Dr. Sutami No. 56, Sarijadi, Bandung",Rp. 200.000,,https://pergikuliner.com/restaurants/bandung/hachi-grill-sarijadi
Kumari,4.27,['Kafe'],Dipatiukur,,"Jl. Bagusrangin No. 1, Dipatiukur, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/kumari-dipatiukur
Wheels Coffee Roasters,4.26,['Kafe'],Riau,"Heritage Lifestyle Hub, Lantai 2","Jl. LLRE Martadinata No. 65, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/wheels-coffee-roasters-riau
Myboo.Kit Cafe and Playground,4.26,['Kafe'],Dago Atas,,"Jl. Bukit Pakar Timur No. 2, Dago Atas, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/myboo-kit-cafe-and-playground-dago-atas
Justus Steakhouse,4.24,['Barat'],Riau,,"Jl. Cimanuk No. 8, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/justus-steakhouse-riau
Bellamie Boulangerie,4.20,['Kafe'],Riau,,"Jl. Cihapit No. 37, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/bellamie-boulangerie-riau
Edelweiss Tea & Coffee House,4.23,['Kafe'],Ciumbuleuit,,"Jl. Neglasari Dalam No. 7, Ciumbuleuit, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/edelweiss-tea-dan-coffee-house-ciumbuleuit
Khoe Pek Goan Bloemenstad,4.32,['Kafe'],Riau,,"Jl. Cendana No. 16, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/khoe-pek-goan-bloemenstad-riau
Giur Bistro,4.66,['Kafe'],Dago Bawah,,"Jl. Aria Jipang No. 1 - 3, Dago Bawah, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/giur-bistro-dago-bawah
Ambrogio Patisserie,4.18,['Kafe'],Banda,,"Jl. Banda No. 24, Banda, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/ambrogio-patisserie-banda
Circolo,4.60,['Italia'],Sukajadi,,"Jl. Sukajadi No. 198, Sukajadi, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/circolo-sukajadi
Miss Bee Providore,4.21,['Barat'],Ciumbuleuit,,"Jl. Ranca Bentang No. 11A, Ciumbuleuit, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/miss-bee-providore-ciumbuleuit
Gormeteria,4.18,['Kafe'],Pasir Kaliki,,"Jl. Pasir Kaliki No. 176, Pasir Kaliki, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/gormeteria-pasir-kaliki
Mampirry Cafe & Resto,4.26,['Kafe'],Kopo,,"Jl. Taman Kopo Indah III Blok F No. 28 - 29, Kopo, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/mampirry-cafe-dan-resto-kopo
Gyumbox,4.22,['Indonesia'],Pasir Kaliki,"Paskal Hypersquare, Blok D No. 66 - 67","Jl. Pasir Kaliki No. 25 - 27, Pasir Kaliki, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/gyumbox-pasir-kaliki-2
Fuller Smoke Town,4.40,['Barat'],Dago Atas,,"Jl. Kidang Pananjung No. 5B, Dago Atas, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/fuller-smoke-town-dago-atas
Paragraph Coffee & Eatery,4.32,['Kafe'],Riau,,"Jl. Nanas No. 13, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/paragraph-coffee-dan-eatery-riau
Peach of Cake,4.22,"['Toko Kue', 'Kafe']",Setiabudhi,,"Jl. Karangsari No. 17, Setiabudhi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/peach-of-cake-setiabudhi-2
The Deli Bakes,4.29,"['Toko Kue', 'Kafe']",Cipaganti,,"Jl. Prof. Eyckman No. 26, Cipaganti, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/the-deli-bakes-cipaganti
The Restaurant - Hotel Padma,4.40,"['Indonesia', 'Barat']",Ciumbuleuit,"Hotel Padma, Lantai 1","Jl. Ranca Bentang No. 56 - 58, Ciumbuleuit, Bandung",Rp. 200.000,,https://pergikuliner.com/restaurants/bandung/the-restaurant-hotel-padma-ciumbuleuit
Badung People's Place,4.28,['Kafe'],Pasir Kaliki,,"Jl. Dr. Cipto No. 3, Pasir Kaliki, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/badung-people-s-place-pasir-kaliki
Habitaas,4.31,['Kafe'],Dipatiukur,,"Jl. Raden Patah No. 3, Dipatiukur, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/habitaas-dipatiukur
Tanulo Coffee,4.26,['Kafe'],Mekar Wangi,,"Jl. Mekar Utama I No. 32, Mekar Wangi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/tanulo-coffee-mekar-wangi
Layung Coffee,4.51,['Kafe'],Arcamanik,,"Jl. Golf Raya No. A3, Arcamanik, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/layung-coffee-arcamanik
Yakiniku Like,4.56,['Jepang'],Gatot Subroto,"Trans Studio Mall Bandung, Lantai 2","Jl. Gatot Subroto No. 289, Gatot Subroto, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/yakiniku-like-gatot-subroto
One Eighty Coffee and Music,4.14,['Kafe'],Dago Bawah,,"Jl. Ganeca No. 3, Dago Bawah, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/one-eighty-coffee-and-music-dago-bawah
Kilogram,4.25,['Kafe'],Sukajadi,,"Jl. Karang Tinggal No. 24, Sukajadi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/kilogram-sukajadi
"Hi, Brew! Coffee & Eatery",4.29,['Kafe'],Cipaganti,,"Jl. Boscha No. 43, Cipaganti, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/hi-brew-coffee-dan-eatery-cipaganti
Ekara Coffee & Eatery,4.34,['Kafe'],Ciumbuleuit,,"Jl. Bukit Jarian No. 17, Ciumbuleuit, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/ekara-coffee-dan-eatery-ciumbuleuit
Saka Bistro & Bar,4.15,['Kafe'],Setiabudhi,,"Jl. Karangsari No. 2, Setiabudhi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/saka-bistro-dan-bar-setiabudhi
Braga Permai,4.16,"['Indonesia', 'Barat', 'Belanda']",Braga,,"Jl. Braga No. 58, Braga, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/braga-permai-braga
Roti Macan,4.35,['Toko Roti'],Buah Batu,,"Jl. Buah Batu No. 129, Buah Batu, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/roti-macan-buah-batu
Kana Cafe,4.38,['Kafe'],Sarijadi,"Setrasari Plaza, Blok B No. 8 - 9","Jl. Prof. Dr. Surya Sumantri No. 120, Sarijadi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/kana-cafe-sarijadi
Lukulokal,4.70,['Donat'],Kiaracondong,"Kiara Artha Park, AIUEO Space","Jl. Banten, Kiaracondong, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/lukulokal-kiaracondong
Teapotto,4.22,['Kafe'],Riau,,"Jl. Bengawan No. 25, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/teapotto-riau
Starbucks,4.21,['Kafe'],Braga,,"Jl. Braga No. 2, Braga, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/starbucks-braga-2
Akasya Teras,4.29,['Kafe'],Riau,,"Jl. Ciliwung No. 12, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/akasya-teras-riau
Sawo Coffee,4.21,['Kafe'],Braga,,"Jl. Braga No. 76, Braga, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/sawo-coffee-braga
Makmur Jaya Coffee Roaster,4.20,['Kafe'],Dago Bawah,,"Jl. Sawunggaling No. 22, Dago Bawah, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/makmur-jaya-coffee-roaster-dago-bawah
De Grote Cafe,4.50,['Kafe'],Dago Atas,,"Jl. Cibengang No. 27, Dago Atas, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/de-grote-cafe-dago-atas
Sushi Tei,4.27,['Jepang'],Sumatera,,"Jl. Sumatera No. 9, Sumatera, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/sushi-tei-sumatera
Lamama,4.48,['Kafe'],Sarijadi,Setrasari Plaza II,"Jl. Prof. Dr. Surya Sumantri No. 120, Sarijadi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/lamama-sarijadi
Maximo Resto & Garden - Puri Setiabudhi Residence Hotel,4.22,['Kafe'],Setiabudhi,"Puri Setiabudhi Residence Hotel, Lantai 1","Jl. Setiabudhi No. 378, Setiabudhi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/maximo-resto-dan-garden-puri-setiabudhi-residence-hotel-setiabudhi
Kolaseu Koffie,4.34,['Kafe'],Buah Batu,,"Jl. Asmarandana No. 15C, Buah Batu, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/kolaseu-koffie-buah-batu
Mie Gacoan,4.16,['Indonesia'],Setiabudhi,,"Jl. Dr. Setiabudhi No. 191, Setiabudhi, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/mie-gacoan-setiabudhi
Rumah Kopi Rawdee,4.35,['Kafe'],Padasuka,"Padasuka Ideal Residence, Blok F3 No. 1","Jl. Pasirluhur, Padasuka, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/rumah-kopi-rawdee-padasuka
Hummingbird Eatery,4.14,['Barat'],Progo,,"Jl. Progo No. 14, Progo, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/hummingbird-eatery-progo
Fuego Roasthouse,4.12,['Barat'],Banda,,"Jl. Banda No. 4, Banda, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/fuego-roasthouse-banda
Grind Joe Coffee - Moxy Hotel,4.33,['Kafe'],Dago Bawah,"Moxy Hotel, Lantai Lobby","Jl. Ir. H. Juanda No. 69, Dago Bawah, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/grind-joe-coffee-moxy-hotel-dago-bawah
Pizza Hut Delivery (PHD),4.38,,['Buah Batu'],,"Jl. Karawitan No. 59, Buah Batu, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/pizza-hut-delivery-phd-buah-batu
Gijon Steakhouse,4.35,['Barat'],Trunojoyo,,"Jl. Trunojoyo No. 48, Trunojoyo, Bandung",Rp. 200.000,,https://pergikuliner.com/restaurants/bandung/gijon-steakhouse-trunojoyo
Atmosphere,4.23,['Barat'],Lengkong,,"Jl. Lengkong Besar No. 97, Lengkong, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/atmosphere-lengkong
Gyu Kaku,4.35,['Jepang'],Dago Bawah,,"Jl. Pangeran Kornel No. 7, Dago Bawah, Bandung",Rp. 200.000,,https://pergikuliner.com/restaurants/bandung/gyu-kaku-dago-bawah
Lumiere,4.54,['Toko Kue'],Riau,,"Jl. LLRE Martadinata No. 57, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/lumiere-riau
Gyu Kaku,4.57,['Jepang'],Sukajadi,"Paris Van Java, Lantai Ground (Resort Level)","Jl. Sukajadi No. 137 - 139, Sukajadi, Bandung",Rp. 200.000,,https://pergikuliner.com/restaurants/bandung/gyu-kaku-sukajadi
Dreezel Coffee,4.30,['Kafe'],Dago Atas,,"Jl. Tubagus Ismail Raya No. 7, Dago Atas, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/dreezel-coffee-dago-atas
Wheels Coffee Roasters,4.19,['Kafe'],Cipaganti,,"Jl. Prof. Eyckman No. 32, Cipaganti, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/wheels-coffee-roasters-cipaganti
Dimsum Sembilan Ayam,4.12,['China'],Pasir Kaliki,,"Jl. Pasir Kaliki No. 170, Pasir Kaliki, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/dimsum-sembilan-ayam-pasir-kaliki
Eastern Dining House,4.34,['China'],Kota Baru Parahyangan,,"Jl. Parahyangan Raya No. 1, Kota Baru Parahyangan, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/eastern-dining-house-kota-baru-parahyangan
Five Monkeys,4.54,['Barat'],Riau,,"Jl. Bengawan No. 11, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/five-monkeys-riau
Seroja Bake,4.15,['Kafe'],Riau,,"Jl. Cihapit No. 21, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/seroja-bake-riau
Mutu Loka,4.30,['Kafe'],Cilaki,,"Jl. Cilaki No. 33, Cilaki, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/mutu-loka-cilaki
Kuro Koffee,4.14,['Kafe'],Ciumbuleuit,,"Jl. Ciumbuleuit No. 130, Ciumbuleuit, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/kuro-koffee-ciumbuleuit
Giggle Box,4.31,['Kafe'],Merdeka,"Bandung Indah Plaza, Lantai 1","Jl. Merdeka No. 56, Merdeka, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/giggle-box-merdeka
Bakmi Tjeng,4.27,['Indonesia'],Riau,,"Jl. Ambon No. 10 (Seberang SMPN 7), Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/bakmi-tjeng-riau
Sushi Tei,4.21,['Jepang'],Gatot Subroto,"Trans Studio Mall Bandung, Lantai Ground","Jl. Gatot Subroto No. 289, Gatot Subroto, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/sushi-tei-gatot-subroto
Moist,4.24,"['Toko Roti', 'Kafe']",Riau,,"Jl. Nanas No. 10, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/moist-riau
Cap Dangu,4.25,['Kafe'],Dago Atas,,"Jl. Tubagus Ismail VIII No. 45, Dago Atas, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/cap-dangu-dago-atas
Kisah Manis,4.15,['Kafe'],Sunda,,"Jl. Sunda No. 65, Sunda, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/kisah-manis-sunda
Jack Howard Dining,4.20,['Barat'],Mekar Wangi,,"Jl. Mekar Laksana No. 11D - E, Mekar Wangi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/jack-howard-dining-mekar-wangi
BBQ Mountain Boys,4.05,['Barat'],Pasir Kaliki,"Paskal Hypersquare, The Tri Park","Jl. Pasir Kaliki No. 25 - 27, Pasir Kaliki, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/bbq-mountain-boys-pasir-kaliki
Nonna,4.33,"['Italia', 'Barat']",Riau,,"Jl. Progo No. 37, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/nonna-riau
Custom Coffee Garage,4.14,['Kafe'],Aceh,Pasar Besi Kebon Sirih,"Jl. Aceh No. 24A, Aceh, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/custom-coffee-garage-aceh
Neduh Kopi,4.17,['Kafe'],Supratman,,"Jl. Terusan Ciliwung No. 17, Supratman, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/neduh-kopi-supratman
Ssst Coffee,4.23,['Kafe'],Buah Batu,,"Jl. Kliningan II No. 1, Buah Batu, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/ssst-coffee-buah-batu
Warung De'Tuik,4.32,['Indonesia'],Surapati,,"Jl. Bojong Koneng Atas No. 20A, Surapati, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/warung-de-tuik-surapati
Masagi Koffee,4.08,['Kafe'],Ciumbuleuit,,"Jl. Gunung Kareumbi No. 1B, Ciumbuleuit, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/masagi-koffee-ciumbuleuit
Dewaji Coffee,4.27,['Kafe'],Buah Batu,,"Jl. Suryalaya Tengah No. 16, Buah Batu, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/dewaji-coffee-buah-batu
Terai Coffeatery,4.18,['Kafe'],Dago Atas,,"Jl. Tubagus Ismail Raya No. 175, Dago Atas, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/terai-coffeatery-dago-atas
Ayang Coffee,4.68,['Kafe'],Cibiru,,"Jl. Flamboyan No. 7A, Cibiru, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/ayang-coffee-cibiru
Briiz Chocolate Cafe,4.29,['Kafe'],Palasari,,"Jl. Palasari No. 2, Palasari, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/briiz-chocolate-cafe-palasari
Third Space,4.16,['Kafe'],Ahmad Yani,,"Jl. Jenderal Ahmad Yani No. 258, Ahmad Yani, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/third-space-ahmad-yani
Justus Steakhouse,4.24,['Barat'],Sukajadi,"Paris Van Java, Lantai 1 (Sky Level)","Jl. Sukajadi No. 137 - 139, Sukajadi, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/justus-steakhouse-sukajadi
Ikugo Grill & Hotpot,4.12,['Jepang'],Cihampelas,"Cihampelas Walk, Lantai Lower Ground, Broadway Street","Jl. Cihampelas No. 160, Cihampelas, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/ikugo-grill-dan-hotpot-cihampelas
Musouya - Hotel New Sany Rosa,4.28,['Jepang'],Setiabudhi,Hotel New Sany Rosa,"Jl. Hegarmanah No. 2A, Setiabudhi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/musouya-hotel-new-sany-rosa-setiabudhi
We The Fork,4.11,"['Barat', 'Kafe']",Braga,,"Jl. Lembong No. 8, Braga, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/we-the-fork-braga
Delchi Patisserie,4.23,['Toko Kue'],Antapani,,"Jl. Terusan Jakarta No. 66, Antapani, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/delchi-patisserie-antapani
Bilbao Brasserie,4.14,['Barat'],Riau,,"Jl. Cimanuk No. 12, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/bilbao-brasserie-riau
Ramens - Belviu Hotel,4.17,['Jepang'],Setiabudhi,"Belviu Hotel, Lantai Basement","Jl. Dr. Setiabudhi No. 35, Setiabudhi, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/ramens-belviu-hotel-setiabudhi
Tom Sushi,4.24,['Jepang'],Gatot Subroto,"Trans Studio Mall Bandung, Lantai 2","Jl. Gatot Subroto No. 289, Gatot Subroto, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/tom-sushi-gatot-subroto
Sai Ramen,4.07,['Jepang'],Trunojoyo,,"Jl. Trunojoyo No. 58, Trunojoyo, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/sai-ramen-trunojoyo
Yumaju Coffee,4.23,['Kafe'],Buah Batu,,"Jl. Buah Batu No. 140, Buah Batu, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/yumaju-coffee-buah-batu
Sejiwa Coffee,4.10,['Kafe'],Ciumbuleuit,,"Jl. Kiputih No. 1A, Ciumbuleuit, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/sejiwa-coffee-ciumbuleuit
Naima,4.32,['Arab/Timur Tengah'],Gede Bage,,"Jl. Rancabolang No. 142, Gede Bage, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/naima-gede-bage
Yeye Chicken Rice,4.21,['Singapura'],Ahmad Yani,,"Jl. Jenderal Ahmad Yani No. 24, Ahmad Yani, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/yeye-chicken-rice-ahmad-yani
Butterpie,4.25,['Toko Kue'],Riau,,"Jl. Cendana No. 17, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/butterpie-riau
Scoop & Skoops,4.12,['Es Krim'],Ciwastra,,"Jl. Ciwastra No. 184A, Ciwastra, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/scoop-dan-skoops-ciwastra
Genki Sushi,4.09,['Jepang'],Pasir Kaliki,"23 Paskal Shopping Center, Lantai 3","Jl. Pasir Kaliki No. 25 - 27, Pasir Kaliki, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/genki-sushi-pasir-kaliki
The Sage,4.28,['Kafe'],Riau,,"Jl. Anggrek No. 51, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/the-sage-riau
Public Space Cafe,4.43,['Kafe'],Dipatiukur,,"Jl. Teuku Umar No. 21, Dipatiukur, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/public-space-cafe-dipatiukur
Ramesindong,4.16,['Indonesia'],Riau,,"Jl. Bengawan No. 56A, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/ramesindong-riau
Jardin,4.03,['Kafe'],Riau,,"Jl. Cimanuk No. 1A, Riau, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/jardin-riau
Mr. Roastman Experience,4.12,['Kafe'],Ciumbuleuit,,"Jl. Ciumbuleuit No. 108, Ciumbuleuit, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/mr-roastman-experience-ciumbuleuit
Dailah,4.21,['Indonesia'],Cisangkuy,,"Jl. Cisangkuy No. 60, Cisangkuy, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/dailah-cisangkuy
Yamato Gyukatsu,4.12,['Jepang'],Sukajadi,"Paris Van Java, Lantai Ground (Resort Level)","Jl. Sukajadi No. 137 - 139, Sukajadi, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/yamato-gyukatsu-sukajadi-2
Sushi Tei,4.20,['Jepang'],Sukajadi,"Flamboyant Season Building, Lantai 1","Jl. Sukawangi No. 2, Sukajadi, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/sushi-tei-sukajadi
Oeuf Pattisier,4.31,['Toko Roti dan Kue'],Andir,,"Jl. Garuda No. 46, Andir, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/oeuf-pattisier-andir
Marka Coffee Kitchen,4.06,['Kafe'],Burangrang,,"Jl. Talaga Bodas No. 32, Burangrang, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/marka-coffee-kitchen-burangrang
Kawan Kopi,4.23,['Kafe'],Gedung Sate,,"Jl. Hayam Wuruk No. 30, Gedung Sate, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/kawan-kopi-gedung-sate
Persegi Coffee,4.13,['Kafe'],Cihampelas,,"Jl. Cihampelas No. 144, Cihampelas, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/persegi-coffee-cihampelas
Joglo Salse,4.35,['Indonesia'],Dago Atas,,"Jl. Sukanagara No. 100, Dago Atas, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/joglo-salse-dago-atas
Boda Barn,4.20,"['Indonesia', 'Barat']",Ciumbuleuit,Sarae Hills,"Jl. Pagermaneuh No. 57, Ciumbuleuit, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/boda-barn-ciumbuleuit
