title,rate,cuisine,location,address,street,price_from,price_till,url
Kampung Daun,3.93,['Indonesia'],Lembang,,"Jl. Sersan Bajuri KM 4.7 No. 88, Lembang, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/kampung-daun-lembang
Brunswick Cafe,4.04,['Kafe'],Dago Atas,,"Jl. Sentra Dago Pakar Raya No. C1, Dago Atas, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/brunswick-cafe-dago-atas
Hap Seng Kee,4.11,['Singapura'],Cibadak,,"Jl. Kelenteng No. 44, Cibadak, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/hap-seng-kee-cibadak-2
Soto Sedaap Boyolali Hj. Widodo,3.83,['Indonesia'],Trunojoyo,,"Jl. Trunojoyo No. 25, Trunojoyo, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/soto-sedaap-boyolali-hj-widodo-trunojoyo
Blue Turtle Chicken & Coffee,4.04,['Kafe'],Sarijadi,,"Jl. Sarijadi No. 85, Sarijadi, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/blue-turtle-chicken-dan-coffee-sarijadi-2
Little Contrast,4.16,['Kafe'],Braga,,"Jl. Braga No. 88, Braga, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/little-contrast-braga
Dapoer Pandan Wangi,3.89,['Indonesia'],Gatot Subroto,,"Jl. Patuha No. 38, Gatot Subroto, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/dapoer-pandan-wangi-gatot-subroto
Cupola,3.98,['Kafe'],Braga,Stocker House,"Jl. Braga No. 43, Braga, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/cupola-braga
Kopi Nyaring,4.04,['Minuman'],Trunojoyo,Rumah Makan Legoh,"Jl. Sultan Agung No. 9, Trunojoyo, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/kopi-nyaring-trunojoyo
Beda Cerita,4.20,['Kafe'],Padasuka,,"Jl. Jatihandap No. 138, Padasuka, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/beda-cerita-padasuka
